name,height_cm,weight_kg,reach_cm,strikes_per_min,striking_accuracy,takedown_avg,takedown_accuracy,takedown_defense,submission_avg
Chibwikem Onyenegecha,190.5,83.91,,5.6,0.55,3.4,0.0,1.0,0.0
Charlie Ontiveros,187.96,70.31,187.96,1.89,0.41,5.86,0.0,0.3,0.0
David Onama,180.34,65.77,187.96,5.6,0.5,5.07,0.2,0.52,0.6
Michihiro Omigawa,167.64,65.77,172.72,2.01,0.39,3.06,0.36,0.49,1.5
Daniel Omielanczuk,182.88,112.04,187.96,3.09,0.57,3.29,0.26,0.68,0.1
Alan Omer,177.8,65.77,,3.49,0.55,2.21,0.42,0.66,0.0
Gadzhi Omargadzhiev,185.42,77.11,180.34,1.8,0.39,2.2,0.3,0.6,0.5
Cameron Olson,185.42,92.99,190.5,3.13,0.47,2.2,0.42,1.0,1.0
Dennis Olson,182.88,77.11,,1.02,0.42,5.27,0.4,0.0,0.0
Casey Olson,170.18,65.77,,2.48,0.6,0.0,0.57,1.0,1.8
Shana Olsen,170.18,65.77,,0.0,0.0,0.0,0.0,0.0,0.0
Andy Ologun,182.88,69.85,,2.36,0.57,0.32,1.0,0.8,0.0
Felipe Olivieri,175.26,70.31,,6.68,0.58,4.6,0.0,0.71,0.0
Wendell Oliveira Marques,177.8,77.11,,3.77,0.47,4.4,0.0,1.0,0.0
Ravena Oliveira,165.1,52.16,165.1,1.0,0.48,1.2,0.66,0.62,0.0
Vinicius Oliveira,175.26,61.23,177.8,4.92,0.44,2.77,0.6,0.76,0.3
Saimon Oliveira,162.56,61.23,182.88,2.82,0.41,3.91,0.25,0.35,1.6
Bruno Oliveira,193.04,92.99,203.2,3.44,0.33,4.92,0.0,0.0,0.0
Maria Oliveira,167.64,52.16,175.26,5.03,0.38,5.76,0.44,0.47,0.0
Alex Oliveira,180.34,77.11,193.04,2.99,0.51,2.55,0.38,0.63,0.6
Ednaldo Oliveira,195.58,92.99,,1.03,0.22,1.8,0.0,0.42,0.0
Jorge Oliveira,185.42,92.99,,0.0,0.0,0.0,0.0,0.0,0.0
Charles Oliveira,177.8,70.31,187.96,3.4,0.55,3.21,0.4,0.56,2.7
Rafaello Oliveira,172.72,70.31,180.34,2.19,0.33,3.38,0.36,0.11,1.6
Michal Oleksiejczuk,182.88,83.91,187.96,5.08,0.5,4.61,0.43,0.48,0.0
Aleksei Oleinik,187.96,108.86,203.2,3.29,0.48,3.8,0.46,0.37,1.9
