draws,height_cm,losses,name,reach_cm,stance,strikes_per_min,striking_accuracy,submission_avg,takedown_accuracy,takedown_avg,takedown_defense,weight_kg,wins
,175.26,,Dustin Pague,187.96,,1.65,0.53,2.6,0.44,2.96,0.55,61.23,
,190.5,,Michael Page,200.66,,2.53,0.62,0.0,0.2,1.78,0.63,77.11,
,167.64,,Damacio Page,167.64,,2.05,0.38,0.9,0.64,2.47,0.23,61.23,
,175.26,,Chris Padilla,187.96,,5.8,0.61,1.1,0.75,4.93,0.0,70.31,
,185.42,,Fernando Padilla,193.04,,6.07,0.4,0.6,0.0,5.74,1.0,65.77,
,180.34,,Gary Padilla,,,2.2,0.27,0.0,0.0,2.0,0.5,92.99,
,180.34,,Cyrillo Padilha,,,0.0,0.0,0.0,0.0,0.0,0.0,70.31,
,170.18,,George Pacurariu,,,4.69,0.53,5.0,1.0,2.68,1.0,61.23,
,185.42,,Teemu Packalen,190.5,,2.57,0.54,1.5,0.25,3.91,1.0,70.31,
,172.72,,Angel Pacheco,177.8,,9.5,0.39,0.0,0.0,11.47,0.28,61.23,
,170.18,,Larissa Pacheco,,,1.21,0.19,0.0,0.0,4.14,0.0,61.23,
,170.18,,Nick Pace,172.72,,1.48,0.34,0.5,0.43,3.14,0.54,61.23,
,170.18,,Raquel Pa'aluhi,,,1.71,0.56,0.0,0.0,3.42,0.18,61.23,
,180.34,,Shungo Oyama,,,0.64,0.25,0.5,0.57,1.96,0.62,83.91,
,175.26,,Craig Oxley,,,0.0,0.0,0.0,0.0,0.0,0.0,70.31,
,190.5,,Valentijn Overeem,,,0.93,0.34,4.7,0.5,1.49,0.0,104.33,
,193.04,,Alistair Overeem,203.2,,3.67,0.64,0.8,0.55,2.44,0.73,120.2,
,172.72,,Sidney Outlaw,187.96,,0.13,0.33,3.0,0.75,0.8,0.0,77.11,
,170.18,,Artur Oumakhanov,,,1.2,0.33,0.0,0.75,1.67,0.33,69.85,
,180.34,,Zak Ottow,182.88,,2.63,0.36,0.4,0.29,2.73,0.57,77.11,
